family,metric,arm,tier,phase,absolute_class,absolute_dominance,progress_class,progress_dominance,alignment_class,alignment_dominance,unsafe_for_depth_claims,alignment_supports_schedule_attribution,absolute_warm_n,absolute_warm_effect,absolute_warm_effect_rel,absolute_warm_seed_sd,absolute_warm_seed_rel,absolute_warm_seed_multiple,absolute_warm_outside_fraction,absolute_warm_signed_rel,absolute_warm_baseline,absolute_warm_detectable,absolute_post_n,absolute_post_effect,absolute_post_effect_rel,absolute_post_seed_sd,absolute_post_seed_rel,absolute_post_seed_multiple,absolute_post_outside_fraction,absolute_post_signed_rel,absolute_post_baseline,absolute_post_detectable,progress_warm_n,progress_warm_effect,progress_warm_effect_rel,progress_warm_seed_sd,progress_warm_seed_rel,progress_warm_seed_multiple,progress_warm_outside_fraction,progress_warm_signed_rel,progress_warm_baseline,progress_warm_detectable,progress_post_n,progress_post_effect,progress_post_effect_rel,progress_post_seed_sd,progress_post_seed_rel,progress_post_seed_multiple,progress_post_outside_fraction,progress_post_signed_rel,progress_post_baseline,progress_post_detectable,alignment_warm_n,alignment_warm_effect,alignment_warm_effect_rel,alignment_warm_seed_sd,alignment_warm_seed_rel,alignment_warm_seed_multiple,alignment_warm_outside_fraction,alignment_warm_signed_rel,alignment_warm_baseline,alignment_warm_detectable,alignment_post_n,alignment_post_effect,alignment_post_effect_rel,alignment_post_seed_sd,alignment_post_seed_rel,alignment_post_seed_multiple,alignment_post_outside_fraction,alignment_post_signed_rel,alignment_post_baseline,alignment_post_detectable
batch/valid_targets,batch/valid_targets,none,continuous,pre_update,not different,1,not different,1,not different,1,False,False,401,0,0,0,0,0,0,0,524288,False,2119,0,0,0,0,0,0,0,524288,False,401,0,0,0,0,0,0,0,524288,False,2119,0,0,0,0,0,0,0,524288,False,401,0,0,0,0,0,0,0,524288,False,2119,0,0,0,0,0,0,0,524288,False
calib/grad_cosine_prev,calib/grad_cosine_prev,none,sparse,pre_update,not estimable,,not different,0.1935585474,not estimable,,False,False,9,0.1186222837,0.218080558,0.09996709035,0.1837840089,1.186613348,0.6666666667,0.07575665587,0.5439379136,False,0,,,,,,,,,False,7,0.2608985608,0.5373080408,0.1158742894,0.2386375273,2.251565573,0.7142857143,-0.2339333881,0.4855660832,False,14,0.2519874263,2.775945821,0.1960252106,2.159454431,1.285484788,0.5,-0.6672103418,0.09077534021,False,4,0.2616665439,0.3404124696,0.03702370845,0.04816562271,7.067540092,0,0.3404124696,0.7686749671,True,0,,,,,,,,,False
calib/grad_norm,calib/grad_norm,none,sparse,pre_update,not estimable,,warmup-dominated,7.801080801,not estimable,,True,False,10,0.1697821301,0.3678188803,0.0585339041,0.1268088406,2.900577583,0.7,0.3601441583,0.4615916669,False,0,,,,,,,,,False,8,0.7317075533,1.334388122,0.07852391364,0.1432011699,9.318276681,0.75,0.3453038583,0.5483468722,True,14,0.03802285369,0.1710516987,0.03805729799,0.1712066517,0.9990949358,0.3571428571,0.1457585979,0.2222886647,False,5,1.370154338,1.849536758,0.09705979943,0.1310185735,14.11659972,0,0.03405398367,0.7408094659,True,0,,,,,,,,,False
curvature/Hg_norm [native],curvature/Hg_norm,native,sparse,post_update,not estimable,,uniformly different,0.672429878,not estimable,,False,False,10,10.3946893,1.008784694,5.294318361,0.51380346,1.963366876,0.9,1.008784694,10.30417032,False,0,,,,,,,,,False,5,4.007840833,0.7062062151,1.618596838,0.2852067221,2.476120513,0.8,0.07213733277,5.675170719,False,17,49.98471642,1.050230274,11.13573753,0.2339732927,4.488675875,0.9411764706,1.050230274,47.59405403,True,2,0.389965926,0.6021101936,0.02480749493,0.03830295053,15.71968178,0,-0.6021101936,0.6476653778,True,0,,,,,,,,,False
curvature/Hg_norm [shadow_fp32],curvature/Hg_norm,shadow_fp32,sparse,post_update,not estimable,,uniformly different,0.6802048913,not estimable,,False,False,10,9.938299018,0.9631021144,5.241383916,0.5079327883,1.896121173,0.9,0.9631021144,10.31905015,False,0,,,,,,,,,False,5,4.073462904,0.7119018363,1.613059612,0.2819075874,2.525302149,0.8,0.06716016821,5.721944651,False,17,49.83185199,1.046599114,11.05696156,0.2322250871,4.506830535,1,1.046599114,47.61312268,True,2,0.4267438057,0.6591788962,0.02480087174,0.03830919403,17.20680669,0,-0.6591788962,0.6473869358,True,0,,,,,,,,,False
curvature/arith_eps [native],curvature/arith_eps,native,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,0,0,0,0,0,0,0.0078125,False,0,,,,,,,,,False,5,0,0,0,0,0,0,0,0.0078125,False,17,0,0,0,0,0,0,0,0.0078125,False,2,0,0,0,0,0,0,0,0.0078125,False,0,,,,,,,,,False
curvature/arith_eps [shadow_fp32],curvature/arith_eps,shadow_fp32,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,0,0,0,0,0,0,1.192092896e-07,False,0,,,,,,,,,False,5,0,0,0,0,0,0,0,1.192092896e-07,False,17,0,0,0,0,0,0,0,1.192092896e-07,False,2,0,0,0,0,0,0,0,1.192092896e-07,False,0,,,,,,,,,False
curvature/c_fd_gradient [native],curvature/c_fd_gradient,native,sparse,post_update,not estimable,,not different,0.8546733556,not estimable,,False,False,10,1.40448451,0.9321546176,0.7806536655,0.518118864,1.799113451,0.5,0.9303950098,1.506707668,False,0,,,,,,,,,False,5,0.6179666519,0.5877628213,0.494435587,0.4702694792,1.249842584,0.4,0.1238639044,1.051387787,False,17,5.58547062,0.6877046271,2.000986002,0.2463690933,2.791359167,0.8823529412,0.6877046271,8.121903504,False,2,0.06275177002,19.64179104,0.01716783926,5.373666931,3.655193241,0,15.49253731,0.00319480896,True,0,,,,,,,,,False
curvature/c_fd_gradient [shadow_fp32],curvature/c_fd_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,0.8707540194,not estimable,,False,False,10,1.423662529,0.9366514853,0.7607282025,0.5004958594,1.871447021,0.8,0.9366514853,1.519949043,False,0,,,,,,,,,False,5,0.6560195682,0.5681023508,0.4733489951,0.4099125848,1.385910977,0.6,0.07436677147,1.154755947,False,17,5.407712353,0.6524257575,1.946215406,0.2348055847,2.778578535,0.7647058824,0.6524257575,8.28862486,False,2,0.03328323364,41.05882353,0.0009549773951,1.178078091,34.85237851,0,40,0.0008106231689,True,0,,,,,,,,,False
curvature/c_fd_random [native],curvature/c_fd_random,native,sparse,post_update,not estimable,,not different,0.04649414503,not estimable,,False,False,10,6.89750274,1.032062911,28.62889827,4.283698784,0.2409279838,0.1,1.012051502,6.683219274,False,0,,,,,,,,,False,5,6.087083817,2.306347291,47.7583514,18.09525672,0.1274559033,0.2,-0.3355652073,2.639274597,False,17,102.9905953,49.60511241,85.24210015,41.05660275,1.208212786,0.4705882353,7.451804678,2.076209293,False,2,0.107383728,2.0270027,0.730159462,13.78267665,0.1470688714,0,-1.886588659,0.05297660828,False,0,,,,,,,,,False
curvature/c_fd_random [shadow_fp32],curvature/c_fd_random,shadow_fp32,sparse,post_update,not estimable,,not different,0.110998646,not estimable,,False,False,10,0.03376139535,1.565009701,0.05251618247,2.43438798,0.6428760386,0.4,-0.3113564359,0.02157264286,False,0,,,,,,,,,False,5,0.0251449479,1.182231467,0.04935547962,2.320529806,0.5094661848,0,-1.168182045,0.02126905653,False,17,0.01200803744,10.65086386,0.02326523544,20.63574972,0.5161365108,0.1764705882,-0.606357982,0.001127423804,False,2,0.06251864963,1.177879816,0.08188566941,1.542763284,0.7634870678,0,1.177879816,0.0530772739,False,0,,,,,,,,,False
curvature/c_fd_update [native],curvature/c_fd_update,native,sparse,post_update,not estimable,,not different,0.03729132915,not estimable,,False,False,10,12.14600007,6.147592121,17.87594574,9.047754207,0.6794605579,0.5,6.081215268,1.975732909,False,0,,,,,,,,,False,5,8.430291812,1.672973191,78.52505586,15.58312763,0.1073579855,0.2,1.383417007,5.039107535,False,17,121.6121203,44.86225697,79.53707293,29.34092914,1.528999193,0.4117647059,-10.77342849,2.710789169,False,2,0.01981523302,19.78835979,0.004433871163,4.427857989,4.469059269,0,-7.08994709,0.001001358032,True,0,,,,,,,,,False
curvature/c_fd_update [shadow_fp32],curvature/c_fd_update,shadow_fp32,sparse,post_update,not estimable,,not different,0.4393939295,not estimable,,False,False,10,0.03697607252,14.62489522,0.04404146354,17.41942142,0.8395741092,0.5,3.751047779,0.002528296577,False,0,,,,,,,,,False,5,0.02831379573,3.867455493,0.02392931115,3.268567264,1.183226527,0.4,-2.153676364,0.007321039836,False,17,0.01168788648,8.801795459,0.01147558041,8.641914146,1.018500683,0.4705882353,5.808308396,0.001327897988,False,2,0.1589457194,33.33333333,0.03302632894,6.926123179,4.812697157,0,33.33333333,0.004768371582,True,0,,,,,,,,,False
curvature/curv_eps_gradient [native],curvature/curv_eps_gradient,native,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,0,0.003130495168,0.03130495168,0,0,0,0.1,False,0,,,,,,,,,False,5,0,0,0.006260990337,0.06260990337,0,0,0,0.1,False,17,0,0,0,0,0,0,0,0.1,False,2,0,0,0.01565247584,0.1565247584,0,0,0,0.1,False,0,,,,,,,,,False
curvature/curv_eps_gradient [shadow_fp32],curvature/curv_eps_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,0.1334680531,not estimable,,False,False,10,0.001539424252,0.03070219782,0.01192505261,0.2378326336,0.129091611,0.5,-0.03070219782,0.05014052289,False,0,,,,,,,,,False,5,0.00180184426,0.03723537653,0.007771048667,0.1605898631,0.2318662947,0,-0.0232763737,0.04839065502,False,17,0.001723053411,0.2789834396,0.0009140749033,0.1479999163,1.885024307,0.8235294118,-0.2789834396,0.006176185271,False,2,0,0,0.01565247584,0.1565247584,0,0,0,0.1,False,0,,,,,,,,,False
curvature/curv_eps_random [native],curvature/curv_eps_random,native,sparse,post_update,not estimable,,not different,1.412671233,not estimable,,False,False,10,0.0507,1.673267327,0.03887260915,1.282924394,1.304260278,0.1,1.541254125,0.0303,False,0,,,,,,,,,False,5,0.05,1.5625,0.04472436866,1.397636521,1.117958766,0,1.5625,0.032,False,17,0.04723529412,1.106060606,0.03630324082,0.850075887,1.301131608,0.1764705882,-0.3236914601,0.04270588235,False,2,0.045,2.25,0.04454994041,2.227497021,1.010102361,0,-2.25,0.02,False,0,,,,,,,,,False
curvature/curv_eps_random [shadow_fp32],curvature/curv_eps_random,shadow_fp32,sparse,post_update,not estimable,,not different,2.404935697,not estimable,,False,False,10,0.0278,1.470899471,0.03332876538,1.76342674,0.8341143058,0.1,0.2962962963,0.0189,False,0,,,,,,,,,False,5,0.0374,3.339285714,0.05135957857,4.585676658,0.7281991215,0,3.339285714,0.0112,False,17,0.02417647059,1.388513514,0.03366596342,1.933518169,0.7181279884,0,0.7533783784,0.01741176471,False,2,0.0035,0.5384615385,0.05252942417,8.081449872,0.06662932358,0,-0.5384615385,0.0065,False,0,,,,,,,,,False
curvature/curv_eps_update [native],curvature/curv_eps_update,native,sparse,post_update,not estimable,,not different,0.4063961814,not estimable,,False,False,10,0.0507,0.9388888889,0.03352024805,0.6207453343,1.51251864,0.3,-0.01296296296,0.054,False,0,,,,,,,,,False,5,0.018,0.36,0.03180387578,0.6360775155,0.5659687557,0.2,-0.2,0.05,False,17,0.02464705882,0.8858350951,0.03160617457,1.135951306,0.7798178413,0.2352941176,-0.2093023256,0.02782352941,False,2,0.035,0.35,0.01565247584,0.1565247584,2.236067977,0,-0.35,0.1,False,0,,,,,,,,,False
curvature/curv_eps_update [shadow_fp32],curvature/curv_eps_update,shadow_fp32,sparse,post_update,not estimable,,not different,3.377990431,not estimable,,False,False,10,0.0581,1.545212766,0.04013484202,1.067416011,1.44762,0.2,0.4069148936,0.0376,False,0,,,,,,,,,False,5,0.0496,3.263157895,0.03493831255,2.298573194,1.419644979,0,1.842105263,0.0152,False,17,0.04011764706,0.9660056657,0.03440688874,0.8284944881,1.165977179,0.2352941176,0.008498583569,0.04152941176,False,2,0.097,14.92307692,0.02360688833,3.631828974,4.108970171,0,0,0.0065,True,0,,,,,,,,,False
curvature/curv_floor_gradient [native],curvature/curv_floor_gradient,native,sparse,post_update,not estimable,,uniformly different,0.4502573133,not estimable,,False,False,10,0.1792367082,0.008228108341,14.74215267,0.6767588546,0.01215810962,0.9,-0.008153710154,21.78346477,False,0,,,,,,,,,False,5,1.314903647,0.07400809668,29.48266239,1.659403512,0.04459921662,1,-0.07400809668,17.76702423,False,17,0.8829437032,0.16436845,0.08507447562,0.01583743068,10.37847952,1,-0.16436845,5.371734681,True,2,0.676458329,0.02085552761,73.47322469,2.265213984,0.009206868649,0,0.02085552761,32.43544549,False,0,,,,,,,,,False
curvature/curv_floor_gradient [shadow_fp32],curvature/curv_floor_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,0.8679919342,not estimable,,False,False,10,0.005241070607,0.9419411389,0.02716953961,4.882992236,0.1929024445,0.8,0.9345085218,0.005564116897,False,0,,,,,,,,,False,5,0.002203602666,0.5428203588,0.002365961794,0.5828147921,0.9313771136,0.6,0.09058953652,0.004059543145,False,17,0.018306178,0.6253748883,0.00725402406,0.247811667,2.523589368,0.8235294118,0.6253748883,0.02927232663,False,2,1.058258476e-05,0.02138226756,0.001121310547,2.265624387,0.009437693061,0,0.02138226756,0.0004949234096,False,0,,,,,,,,,False
curvature/curv_floor_random [native],curvature/curv_floor_random,native,sparse,post_update,not estimable,,not different,0.2582385831,not estimable,,False,False,10,2377.540226,1.095271685,10666.39836,4.913735626,0.2229000028,0.8,-0.8291111336,2170.731023,False,0,,,,,,,,,False,5,881.2705945,0.8459355472,8050.578295,7.727785765,0.1094667442,0.8,-0.8459355472,1041.770378,False,17,2671.149895,3.275790694,1874.074554,2.298289585,1.425316773,0.3529411765,1.549417402,815.4214187,False,2,1609.334211,0.8943019095,15424.48175,8.57133552,0.1043363555,0,0.8943019095,1799.542407,False,0,,,,,,,,,False
curvature/curv_floor_random [shadow_fp32],curvature/curv_floor_random,shadow_fp32,sparse,post_update,not estimable,,not different,0.1473372535,not estimable,,False,False,10,0.1268065823,1.085714714,0.1914439431,1.639138143,0.6623692569,0.4,0.655452124,0.1167954903,False,0,,,,,,,,,False,5,0.02613111506,0.1794465341,0.1564489214,1.074359691,0.1670264955,0.4,-0.1794465341,0.1456206173,False,17,0.01669381995,1.217930495,0.03430653817,2.502901022,0.4866075342,0.3529411765,0.1161086473,0.01370670988,False,2,0.2517539288,0.8389333037,0.2967811038,0.9889798069,0.8482815299,0,0.8389333037,0.300088133,False,0,,,,,,,,,False
curvature/curv_floor_update [native],curvature/curv_floor_update,native,sparse,post_update,not estimable,,not different,0.1563825347,not estimable,,False,False,10,2179.656474,4.843182605,1596.409531,3.547211665,1.365349199,0.6,3.102136981,450.0463129,False,0,,,,,,,,,False,5,225.4617458,0.6976817346,1611.428639,4.986497039,0.1399141981,0.4,-0.2927500062,323.158447,False,17,2057.785379,4.461378862,1719.581715,3.728136856,1.196677867,0.4117647059,4.06078003,461.2442571,False,2,164.9722695,5.085804348,73.20977922,2.25692848,2.253418482,0,5.085804348,32.43779317,False,0,,,,,,,,,False
curvature/curv_floor_update [shadow_fp32],curvature/curv_floor_update,shadow_fp32,sparse,post_update,not estimable,,not different,0.7280970775,not estimable,,False,False,10,0.1271030739,1.198486321,0.1708971525,1.611431521,0.7437401502,0.5,0.2821920861,0.1060530034,False,0,,,,,,,,,False,5,0.2513120202,1.714096876,0.1322780961,0.9022149878,1.899876303,0.4,-0.1419939626,0.146614829,False,17,0.0295495049,2.354214745,0.02939665352,2.342037046,1.005199618,0.5882352941,0.4835081664,0.01255174574,False,2,0.5387323314,1.795011495,0.2598805723,0.8659005361,2.072999635,0,0.03916385941,0.3001275105,False,0,,,,,,,,,False
curvature/curv_snr_gradient [native],curvature/curv_snr_gradient,native,sparse,post_update,not estimable,,uniformly different,0.5223055291,not estimable,,False,False,10,0.0712016854,0.7402386784,0.04301818079,0.44723269,1.655153335,0.6,0.7392507287,0.09618746962,False,0,,,,,,,,,False,5,0.07398919217,0.5328750061,0.0548574425,0.3950868924,1.348753948,0.2,0.3393859546,0.1388490571,False,17,1.630793139,1.020236196,0.3783012662,0.2366680577,4.310831828,0.9411764706,1.020236196,1.598446659,True,2,0.001593271211,13.55162049,0.0001364658151,1.160714462,11.6752405,0,-13.55162049,0.0001175705306,True,0,,,,,,,,,False
curvature/curv_snr_gradient [shadow_fp32],curvature/curv_snr_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,2.317059638,not estimable,,False,False,10,14.56242476,0.07821594891,14.44839578,0.07760349013,1.007892155,0.5,-0.04249162635,186.1822935,False,0,,,,,,,,,False,5,36.58046885,0.2102818435,17.45904734,0.1003628651,2.095215629,0.4,0.167547155,173.9592361,False,17,26.1664907,0.09075374673,21.73852331,0.07539614163,1.203692189,0.5294117647,0.01797852372,288.3240818,False,2,65.15796029,39.78941392,0.8495874862,0.5188097969,76.69364409,0,-39.78941392,1.637570245,True,0,,,,,,,,,False
curvature/curv_snr_random [native],curvature/curv_snr_random,native,sparse,post_update,not estimable,,not different,1.47749397,not estimable,,False,False,10,0.001529746486,0.3046972986,0.001993479755,0.3970644166,0.7673749797,0.4,-0.04191562626,0.005020544958,False,0,,,,,,,,,False,5,0.01180978928,0.9149005072,0.007844782418,0.6077327244,1.505432356,0.8,0.9149005072,0.01290827711,False,17,0.02573851182,0.6192245288,0.01950997821,0.4693766736,1.31924862,0.3529411765,0.2512970798,0.04156571749,False,2,0.0001269415539,2.397578175,2.461512321e-05,0.46491224,5.157055393,0,-2.397578175,5.294574136e-05,True,0,,,,,,,,,False
curvature/curv_snr_random [shadow_fp32],curvature/curv_snr_random,shadow_fp32,sparse,post_update,not estimable,,not different,0.7877101837,not estimable,,False,False,10,0.1688784798,0.5675685722,0.1385790903,0.4657380653,1.218643299,0.6,-0.009099628592,0.297547271,False,0,,,,,,,,,False,5,0.1830416197,0.5775893602,0.1684758449,0.5316269362,1.086456161,0.8,0.1514514498,0.3169061488,False,17,0.3593899289,0.733251102,0.2171326002,0.4430082915,1.655163382,0.3529411765,0.6031489273,0.490132136,False,2,0.2970492561,1.541425186,0.09581092945,0.4971747168,3.100369215,0,-0.5434598525,0.192710784,True,0,,,,,,,,,False
curvature/curv_snr_update [native],curvature/curv_snr_update,native,sparse,post_update,not estimable,,not different,1.578609841,not estimable,,False,False,10,0.001555609511,0.3278375856,0.001355816757,0.2857321771,1.147359702,0.4,-0.02899711996,0.004745061516,False,0,,,,,,,,,False,5,0.0147814959,1.008413434,0.01008342603,0.6879048197,1.46592,0.8,0.9377517142,0.01465817035,False,17,0.02413952101,0.6387983954,0.02109405809,0.5582070353,1.144375393,0.2352941176,0.4455871348,0.03778895061,False,2,3.629531197e-05,0.9491665633,1.984544028e-05,0.5189824064,1.828899307,0,-0.9491665633,3.823913881e-05,False,0,,,,,,,,,False
curvature/curv_snr_update [shadow_fp32],curvature/curv_snr_update,shadow_fp32,sparse,post_update,not estimable,,not different,0.6147722954,not estimable,,False,False,10,0.1188477,0.5038498053,0.1225524149,0.519555788,0.9697703633,0.4,0.3997446689,0.2358792218,False,0,,,,,,,,,False,5,0.1314380051,0.4154646152,0.2064171141,0.6524673499,0.636759242,0.2,0.01707603479,0.3163638979,False,17,0.305876921,0.6758024366,0.2280583956,0.5038707038,1.341221928,0.2941176471,0.4112837594,0.45261293,False,2,0.09966158587,0.5172901888,0.1612048783,0.8367286274,0.6182293421,0,0.4768675386,0.1926608856,False,0,,,,,,,,,False
curvature/dhd [native],curvature/dhd,native,sparse,post_update,not estimable,,uniformly different,1.116908152,not estimable,,False,False,10,0.03698832177,0.2490419069,0.04795442516,0.3228765437,0.7713223887,0.5,0.05134094646,0.1485224805,False,0,,,,,,,,,False,5,0.07355650532,0.4992116853,0.02441326268,0.1656873985,3.012973164,0.8,-0.4747838946,0.1473453196,True,17,0.02427555402,0.4469585832,0.007898860887,0.1454328773,3.073298083,0.9411764706,-0.4468558785,0.05431275947,True,2,0.02814747891,26.83267673,4.300791596e-05,0.04099896511,654.4720497,0,26.83267673,0.001049000038,True,0,,,,,,,,,False
curvature/dhd [shadow_fp32],curvature/dhd,shadow_fp32,sparse,post_update,not estimable,,uniformly different,1.119236283,not estimable,,False,False,10,0.03772108643,0.2535653746,0.04760425973,0.3200011743,0.7923888879,0.5,0.04692824362,0.1487627657,False,0,,,,,,,,,False,5,0.07397168979,0.5005679448,0.02426106421,0.16417512,3.048987842,0.8,-0.4813617041,0.1477755229,True,17,0.02431870561,0.4472406341,0.0078751481,0.1448303329,3.088031527,0.9411764706,-0.4471469679,0.05437499135,True,2,0.02978213196,27.88846978,4.583687221e-05,0.04292238806,649.7418022,0,27.88846978,0.001067901258,True,0,,,,,,,,,False
curvature/e_curv_gradient [shadow_fp32],curvature/e_curv_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,1.398621388,not estimable,,False,False,6,0.0006434552265,0.6259044792,0.001657319048,1.612114368,0.3882506673,0.5,-0.1504052519,0.001028040616,False,0,,,,,,,,,False,3,0.001157412158,1.566555955,0.00086874456,1.17584471,1.332281331,0.3333333333,1.219340778,0.000738825929,False,17,0.001315739122,1.120071499,0.001011178428,0.8608029653,1.30119382,0.3529411765,0.5660326768,0.001174692083,False,0,,,,,,,,,False,0,,,,,,,,,False
